2018-01-10 17:27:55.2085 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:27:55.6281 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:27:55.6281 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:27:55.6281 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:27:55.6451 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:27:55.6451 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | Search in '@Infom @Boris ' 

2018-01-10 17:27:55.6451 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 0 

2018-01-10 17:27:55.6591 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  0 

2018-01-10 17:27:55.6591 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 1 

2018-01-10 17:27:55.6591 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 2 

2018-01-10 17:27:55.6591 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 3 

2018-01-10 17:27:55.6771 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 4 

2018-01-10 17:27:55.6771 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 5 

2018-01-10 17:27:55.6771 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 6 

2018-01-10 17:27:55.6901 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  6 

2018-01-10 17:27:55.6901 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'Infom' 

2018-01-10 17:27:55.6901 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 7 

2018-01-10 17:27:55.6901 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  7 

2018-01-10 17:27:55.7091 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 8 

2018-01-10 17:27:55.7091 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 9 

2018-01-10 17:27:55.7091 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 10 

2018-01-10 17:27:55.7241 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 11 

2018-01-10 17:27:55.7241 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 12 

2018-01-10 17:27:55.7241 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 13 

2018-01-10 17:27:55.7382 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  13 

2018-01-10 17:27:55.7382 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'Boris' 

2018-01-10 17:27:55.7382 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 14 

2018-01-10 17:28:38.3658 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск бота 

2018-01-10 17:28:38.4368 | DeeBeeTeeAlphaBot.Program.Main | INFO | Подключение к БД 

2018-01-10 17:28:38.8801 | DeeBeeTeeAlphaBot.Program.Main | INFO | Запуск пуллинга telegram API 

2018-01-10 17:28:39.2293 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:28:39.2363 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:316 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515593652 message:'/t @Infom 400 @Infom @Boris' 

2018-01-10 17:28:39.6736 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:28:39.6736 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Infom @Boris' 

2018-01-10 17:28:39.6736 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:28:39.6896 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:28:39.6896 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | Search in '@Infom @Boris ' 

2018-01-10 17:28:39.6896 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 0 

2018-01-10 17:28:39.6896 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  0 

2018-01-10 17:28:39.7076 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 1 

2018-01-10 17:28:39.7076 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 2 

2018-01-10 17:28:39.7076 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 3 

2018-01-10 17:28:39.7204 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 4 

2018-01-10 17:28:39.7204 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 5 

